mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
38	38	756/5	756/5	0.2	4/5	4/5	Chord	4/4	1	1	1/20			1/16	4/5	614										
38	38	757/5	757/5	0.2	17/20	17/20	Chord	4/4	1	1	1/20			1/16	4/5	615										
38	38	758/5	758/5	0.2	9/10	9/10	Chord	4/4	1	1	1/20			1/16	4/5	616										
38	38	759/5	759/5	0.2	19/20	19/20	Chord	4/4	1	1	1/20			1/16	4/5	617										
38	38	148	148	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	618										
38	38	149	149	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	619										
38	38	150	150	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	620										
38	38	151	151	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	621										
38	38	148	148	4.0	0	0	Chord	4/4	2	2	1			1	1	622										
39	39	152	152	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	623										
39	39	153	153	0.2	1/4	1/4	Chord	4/4	1	1	1/20			1/16	4/5	624										
39	39	766/5	766/5	0.2	3/10	3/10	Chord	4/4	1	1	1/20			1/16	4/5	625										
39	39	767/5	767/5	0.2	7/20	7/20	Chord	4/4	1	1	1/20			1/16	4/5	626										
39	39	768/5	768/5	0.2	2/5	2/5	Chord	4/4	1	1	1/20			1/16	4/5	627										
39	39	769/5	769/5	0.2	9/20	9/20	Chord	4/4	1	1	1/20			1/16	4/5	628										
39	39	154	154	0.2	1/2	1/2	Chord	4/4	1	1	1/20			1/16	4/5	629										
39	39	771/5	771/5	0.2	11/20	11/20	Chord	4/4	1	1	1/20			1/16	4/5	630										
39	39	772/5	772/5	0.2	3/5	3/5	Chord	4/4	1	1	1/20			1/16	4/5	631										
39	39	773/5	773/5	0.2	13/20	13/20	Chord	4/4	1	1	1/20			1/16	4/5	632										
39	39	774/5	774/5	0.2	7/10	7/10	Chord	4/4	1	1	1/20			1/16	4/5	633										
39	39	155	155	0.2	3/4	3/4	Chord	4/4	1	1	1/20			1/16	4/5	634										
39	39	776/5	776/5	0.2	4/5	4/5	Chord	4/4	1	1	1/20			1/16	4/5	635										
39	39	777/5	777/5	0.2	17/20	17/20	Chord	4/4	1	1	1/20			1/16	4/5	636										
39	39	778/5	778/5	0.2	9/10	9/10	Chord	4/4	1	1	1/20			1/16	4/5	637										
39	39	779/5	779/5	0.2	19/20	19/20	Chord	4/4	1	1	1/20			1/16	4/5	638										
39	39	152	152	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	639										
39	39	153	153	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	640										
39	39	154	154	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	641										
39	39	155	155	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	642										
39	39	152	152	4.0	0	0	Chord	4/4	2	2	1			1	1	643										
40	40	156	156	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	644										
40	40	157	157	0.2	1/4	1/4	Chord	4/4	1	1	1/20			1/16	4/5	645										
40	40	786/5	786/5	0.2	3/10	3/10	Chord	4/4	1	1	1/20			1/16	4/5	646										
40	40	787/5	787/5	0.2	7/20	7/20	Chord	4/4	1	1	1/20			1/16	4/5	647										
40	40	788/5	788/5	0.2	2/5	2/5	Chord	4/4	1	1	1/20			1/16	4/5	648										
40	40	789/5	789/5	0.2	9/20	9/20	Chord	4/4	1	1	1/20			1/16	4/5	649										
40	40	158	158	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	650										
40	40	317/2	317/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	651										
40	40	159	159	0.2	3/4	3/4	Chord	4/4	1	1	1/20			1/16	4/5	652										
40	40	796/5	796/5	0.2	4/5	4/5	Chord	4/4	1	1	1/20			1/16	4/5	653										
40	40	797/5	797/5	0.2	17/20	17/20	Chord	4/4	1	1	1/20			1/16	4/5	654										
40	40	798/5	798/5	0.2	9/10	9/10	Chord	4/4	1	1	1/20			1/16	4/5	655										
40	40	799/5	799/5	0.2	19/20	19/20	Chord	4/4	1	1	1/20			1/16	4/5	656										
40	40	156	156	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	657										
40	40	157	157	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	658										
40	40	158	158	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	659										
40	40	159	159	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	660										
40	40	156	156	4.0	0	0	Chord	4/4	2	2	1			1	1	661										
41	41	160	160	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	662		articStaccatoAbove								
41	41	161	161	0.2	1/4	1/4	Chord	4/4	1	1	1/20			1/16	4/5	663										
41	41	806/5	806/5	0.2	3/10	3/10	Chord	4/4	1	1	1/20			1/16	4/5	664										
41	41	807/5	807/5	0.2	7/20	7/20	Chord	4/4	1	1	1/20			1/16	4/5	665										
41	41	808/5	808/5	0.2	2/5	2/5	Chord	4/4	1	1	1/20			1/16	4/5	666										
41	41	809/5	809/5	0.2	9/20	9/20	Chord	4/4	1	1	1/20			1/16	4/5	667										
41	41	162	162	0.2	1/2	1/2	Chord	4/4	1	1	1/20			1/16	4/5	668										
41	41	811/5	811/5	0.2	11/20	11/20	Chord	4/4	1	1	1/20			1/16	4/5	669										
41	41	812/5	812/5	0.2	3/5	3/5	Chord	4/4	1	1	1/20			1/16	4/5	670										
41	41	813/5	813/5	0.2	13/20	13/20	Chord	4/4	1	1	1/20			1/16	4/5	671										
41	41	814/5	814/5	0.2	7/10	7/10	Chord	4/4	1	1	1/20			1/16	4/5	672										
41	41	163	163	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	673		articStaccatoAbove								
41	41	327/2	327/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	674										
41	41	160	160	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	675										
41	41	160	160	1.0	0	0	Chord	4/4	2	2	1/4			1/4	1	676										
42	42	164	164	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	677										
42	42	167	167	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	678										
42	42	167	167	1.0	3/4	3/4	Chord	4/4	1	2	1/4			1/4	1	679										
42	42	164	164	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	680										
42	42	657/4	657/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	681										
42	42	329/2	329/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	682										
42	42	659/4	659/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	683										
42	42	165	165	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	684										
42	42	661/4	661/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	685										
42	42	331/2	331/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	686										
42	42	663/4	663/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	687										
42	42	166	166	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	688										
42	42	665/4	665/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	689										
42	42	333/2	333/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	690										
42	42	667/4	667/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	691										
42	42	167	167	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	692										
42	42	669/4	669/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	693										
42	42	335/2	335/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	694										
42	42	671/4	671/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	695										
43	43	168	168	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	696										
43	43	170	170	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	697										
43	43	341/2	341/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	698										
43	43	683/4	683/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	699										
43	43	171	171	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	700										
43	43	343/2	343/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	701										
43	43	168	168	0.5	0	0	Chord	4/4	1	2	1/8			1/8	1	702										
43	43	337/2	337/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16			1/16	1	703										
43	43	675/4	675/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16			1/16	1	704										
43	43	169	169	0.5	1/4	1/4	Chord	4/4	1	2	1/8			1/8	1	705										
43	43	339/2	339/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8			1/8	1	706										
43	43	170	170	1.0	1/2	1/2	Chord	4/4	1	2	1/4			1/4	1	707										
43	43	171	171	0.5	3/4	3/4	Chord	4/4	1	2	1/8			1/8	1	708										
43	43	343/2	343/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8			1/8	1	709										
43	43	168	168	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	710										
43	43	170	170	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	711										
44	44	172	172	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	712										
44	44	175	175	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	713										
44	44	175	175	1.0	3/4	3/4	Chord	4/4	1	2	1/4			1/4	1	714										
44	44	172	172	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	715										
44	44	689/4	689/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	716										
44	44	345/2	345/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	717										
44	44	691/4	691/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	718										
44	44	173	173	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	719										
44	44	693/4	693/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	720										
44	44	347/2	347/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	721										
44	44	695/4	695/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	722										
44	44	174	174	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	723										
44	44	697/4	697/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	724										
44	44	349/2	349/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	725										
44	44	699/4	699/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	726										
44	44	175	175	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	727										
44	44	701/4	701/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	728										
44	44	351/2	351/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	729										
44	44	703/4	703/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	730										
45	45	176	176	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	731										
45	45	178	178	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	732										
45	45	357/2	357/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	733										
45	45	715/4	715/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	734										
45	45	179	179	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	735										
45	45	359/2	359/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	736										
45	45	176	176	0.5	0	0	Chord	4/4	1	2	1/8			1/8	1	737										
45	45	353/2	353/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16			1/16	1	738										
45	45	707/4	707/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16			1/16	1	739										
45	45	177	177	0.5	1/4	1/4	Chord	4/4	1	2	1/8			1/8	1	740										
45	45	355/2	355/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8			1/8	1	741										
45	45	178	178	1.0	1/2	1/2	Chord	4/4	1	2	1/4			1/4	1	742										
45	45	179	179	0.5	3/4	3/4	Chord	4/4	1	2	1/8			1/8	1	743										
45	45	359/2	359/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8			1/8	1	744										
45	45	176	176	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	745										
45	45	178	178	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	746										
46	46	180	180	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	747										
46	46	182	182	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	748										
46	46	365/2	365/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	749										
46	46	731/4	731/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	750										
46	46	183	183	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	751										
46	46	367/2	367/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	752										
46	46	180	180	2.0	0	0	Chord	4/4	1	2	1/2			1/2	1	753										
46	46	182	182	2.0	1/2	1/2	Chord	4/4	1	2	1/2			1/2	1	754										
46	46	180	180	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	755										
46	46	361/2	361/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	756										
46	46	723/4	723/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	757										
46	46	181	181	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	758										
46	46	363/2	363/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	759										
46	46	182	182	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	760										
47	47	184	184	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	761										
47	47	186	186	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	762										
47	47	373/2	373/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	763										
47	47	747/4	747/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	764										
47	47	187	187	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	765										
47	47	375/2	375/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	766										
47	47	184	184	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	767										
47	47	369/2	369/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	768										
47	47	739/4	739/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	769										
47	47	185	185	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	770										
47	47	371/2	371/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	771										
47	47	186	186	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	772										
48	48	188	188	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	773		articStaccatoBelow								
48	48	189	189	0.0	1/4	1/4	Dynamic	4/4	1	1	0						p									
48	48	189	189	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	774										
48	48	757/4	757/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	775										
48	48	379/2	379/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	776										
48	48	759/4	759/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	777										
48	48	190	190	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	778										
48	48	761/4	761/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	779										
48	48	381/2	381/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	780										
48	48	763/4	763/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	781										
48	48	191	191	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	782										
48	48	765/4	765/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	783										
48	48	383/2	383/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	784										
48	48	767/4	767/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	785										
48	48	188	188	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	786										
49	49	192	192	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	787										
49	49	771/4	771/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	788										
49	49	193	193	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	789									19	
49	49	387/2	387/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	790										
49	49	194	194	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	791										
49	49	192	192	3.0	0	0	Chord	4/4	2	1	3/4			1/2	3/2	792										
50	50	785/4	785/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	793										
50	50	393/2	393/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	794										
50	50	787/4	787/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	795										
50	50	197	197	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	796										
50	50	789/4	789/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	797										
50	50	395/2	395/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	798										
50	50	791/4	791/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	799										
50	50	198	198	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	800										
50	50	793/4	793/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	801										
50	50	397/2	397/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	802										
50	50	795/4	795/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	803										
50	50	199	199	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	804										
50	50	797/4	797/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	805										
50	50	399/2	399/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	806										
50	50	799/4	799/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	807										
50	50	196	196	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	808										
50	50	785/4	785/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	809										
50	50	393/2	393/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	810										
50	50	787/4	787/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	811										
50	50	197	197	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	812										
50	50	789/4	789/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	813										
50	50	395/2	395/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	814										
50	50	791/4	791/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	815										
50	50	198	198	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	816										
50	50	793/4	793/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	817										
50	50	397/2	397/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	818										
50	50	795/4	795/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	819										
50	50	199	199	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	820										
50	50	797/4	797/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	821										
50	50	399/2	399/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	822										
50	50	799/4	799/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	823										
51	51	200	200	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	824										
51	51	801/4	801/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	825										
51	51	401/2	401/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	826										
51	51	803/4	803/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	827										
51	51	201	201	0.0	1/4	1/4	StaffText	4/4	1	1	0								"<font size=""10.5723""/><font face=""Times New Roman""/><i>cresc.</i>"							
51	51	201	201	0.0	1/4	1/4	Spanner	4/4	1	1	0															0
51	51	201	201	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	828										0
51	51	805/4	805/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	829										0
51	51	403/2	403/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	830										0
51	51	807/4	807/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	831										0
51	51	202	202	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	832										0
51	51	809/4	809/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	833										0
51	51	405/2	405/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	834										0
51	51	811/4	811/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	835										0
51	51	203	203	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	836										0
51	51	813/4	813/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	837										0
51	51	407/2	407/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	838										0
51	51	815/4	815/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	839										0
51	51	200	200	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	840										
51	51	801/4	801/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	841										
51	51	401/2	401/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	842										
51	51	803/4	803/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	843										
51	51	201	201	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	844										
51	51	805/4	805/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	845										
51	51	403/2	403/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	846										
51	51	807/4	807/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	847										
51	51	202	202	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	848										
51	51	809/4	809/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	849										
51	51	405/2	405/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	850										
51	51	811/4	811/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	851										
51	51	203	203	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	852										
51	51	813/4	813/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	853										
51	51	407/2	407/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	854										
51	51	815/4	815/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	855										
52	52	817/4	817/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	856										0
52	52	409/2	409/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	857										0
52	52	819/4	819/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	858										0
52	52	205	205	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	859										0
52	52	821/4	821/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	860										0
52	52	411/2	411/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	861										0
52	52	823/4	823/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	862										0
52	52	206	206	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	863										0
52	52	825/4	825/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	864										0
52	52	413/2	413/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	865										0
52	52	827/4	827/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	866										0
52	52	207	207	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	867										0
52	52	829/4	829/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	868										0
52	52	415/2	415/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	869										0
52	52	831/4	831/4	0.0	15/16	15/16	Spanner	4/4	1	1	0															
52	52	831/4	831/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	870										
52	52	204	204	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	871										
52	52	817/4	817/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	872										
52	52	409/2	409/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	873										
52	52	819/4	819/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	874										
52	52	205	205	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	875										
52	52	821/4	821/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	876										
52	52	411/2	411/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	877										
52	52	823/4	823/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	878										
52	52	206	206	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	879										
52	52	825/4	825/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	880										
52	52	413/2	413/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	881										
52	52	827/4	827/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	882										
52	52	207	207	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	883										
52	52	829/4	829/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	884										
52	52	415/2	415/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	885										
52	52	831/4	831/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	886										
53	53	208	208	0.0	0	0	Dynamic	4/4	1	1	0						f									
53	53	833/4	833/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	887										
53	53	417/2	417/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	888										
53	53	835/4	835/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	889										
53	53	209	209	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	890										
53	53	837/4	837/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	891										
53	53	419/2	419/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	892										
53	53	839/4	839/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	893										
53	53	210	210	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	894										
53	53	841/4	841/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	895										
53	53	421/2	421/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	896										
53	53	843/4	843/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	897										
53	53	211	211	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	898										
53	53	845/4	845/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	899										
53	53	423/2	423/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	900										
