mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
14	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	112							
15	12	24	24	0.0	0	3/8	StaffText	2/4	1	1	0					"<font size=""12.0915""/><font face=""Times New Roman""/><b>Var. 1</b>"						
15	12	24	24	0.375	0	3/8	Chord	2/4	1	1	3/32		1/16	3/2	113							
15	12	195/8	195/8	0.125	3/32	15/32	Chord	2/4	1	1	1/32		1/32	1	114							
16	13	49/2	49/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	115							
16	13	74/3	74/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	116							
16	13	149/6	149/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	117							
16	13	25	25	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	118							
16	13	151/6	151/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	119							
16	13	76/3	76/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	120							
16	13	51/2	51/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	2/3	121							
16	13	51/2	51/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	122							
16	13	77/3	77/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	123							
16	13	155/6	155/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	124							
16	13	26	26	0.0	3/8	3/8	Chord	2/4	1	1	0	grace16	1/16	2/3	125							
16	13	26	26	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	126							
16	13	157/6	157/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	127							
16	13	79/3	79/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	128							
16	13	49/2	49/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	129							
16	13	51/2	51/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	130							
17	14	53/2	53/2	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	2/3	131							
17	14	53/2	53/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	132							
17	14	80/3	80/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	133							
17	14	161/6	161/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	134							
17	14	27	27	0.0	1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	2/3	135							
17	14	27	27	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	136							
17	14	163/6	163/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	137							
17	14	82/3	82/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	138							
17	14	55/2	55/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	139							
17	14	83/3	83/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	140							
17	14	167/6	167/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	141							
17	14	28	28	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	142							
17	14	169/6	169/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	143							
17	14	85/3	85/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	144							
17	14	53/2	53/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	145							
17	14	55/2	55/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	146							
18	15	57/2	57/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	147							
18	15	86/3	86/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	148							
18	15	173/6	173/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	149							
18	15	29	29	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	150							
18	15	175/6	175/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	151							
18	15	88/3	88/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	152							
18	15	59/2	59/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	153							
18	15	89/3	89/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	154							
18	15	179/6	179/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	155							
18	15	30	30	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	156							
18	15	181/6	181/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	157							
18	15	91/3	91/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	158							
18	15	57/2	57/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	159							
18	15	29	29	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	160							
18	15	59/2	59/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	161							
18	15	30	30	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	162							
19	16	61/2	61/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	163							
19	16	61/2	61/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	164							
19	16	123/4	123/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	165							
19	16	247/8	247/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	166							
19	16	31	31	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	167							
19	16	249/8	249/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	168							
19	16	125/4	125/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	169							
19	16	251/8	251/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	170							
19	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	171							
20	16	32	32	0.16666666666666666	0	3/8	Chord	2/4	1	1	1/24		1/16	2/3	172							2
20	16	193/6	193/6	0.16666666666666666	1/24	5/12	Chord	2/4	1	1	1/24		1/16	2/3	173							
20	16	97/3	97/3	0.16666666666666666	1/12	11/24	Chord	2/4	1	1	1/24		1/16	2/3	174							
20	16	32	32	0.5	0	3/8	Chord	2/4	2	1	1/8		1/8	1	175							
21	17	65/2	65/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	176							3
21	17	98/3	98/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	177							
21	17	197/6	197/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	178							
21	17	33	33	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	179							4
21	17	199/6	199/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	180							
21	17	100/3	100/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	181							
21	17	67/2	67/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	182							5
21	17	101/3	101/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	183							
21	17	203/6	203/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	184							
21	17	34	34	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	185							6
21	17	205/6	205/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	186							
21	17	103/3	103/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	187							
21	17	65/2	65/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	188							
21	17	33	33	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	189							
21	17	67/2	67/2	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	190							
21	17	137/4	137/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	191							
22	18	69/2	69/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	192							7
22	18	104/3	104/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	193							
22	18	209/6	209/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	194							
22	18	35	35	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	195							8
22	18	211/6	211/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	196							
22	18	106/3	106/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	197							
22	18	71/2	71/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	198							9
22	18	107/3	107/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	199							
22	18	215/6	215/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	200							
22	18	36	36	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	201							10
22	18	217/6	217/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	202							
22	18	109/3	109/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	203							
22	18	69/2	69/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	204							
22	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	205							
22	18	36	36	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	206							
22	18	69/2	69/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	207							
22	18	35	35	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	208							
22	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	209							
22	18	36	36	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	210							
23	19	73/2	73/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	211							11
23	19	110/3	110/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	212							
23	19	221/6	221/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	213							
23	19	37	37	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	214							12
23	19	223/6	223/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	215							
23	19	112/3	112/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	216							
23	19	75/2	75/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	217							13
23	19	113/3	113/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	218							
23	19	227/6	227/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	219							
23	19	38	38	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	220							14
23	19	229/6	229/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	221							
23	19	115/3	115/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	222							
23	19	73/2	73/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	223							
23	19	37	37	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	224							
23	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	225							
23	19	38	38	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	226							
23	19	73/2	73/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	227							
24	20	77/2	77/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	228							
24	20	116/3	116/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	229							
24	20	233/6	233/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	230							
24	20	39	39	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	231							
24	20	235/6	235/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	232							
24	20	118/3	118/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	233							
24	20	79/2	79/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	234							
24	20	40	40	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	235							
24	20	323/8	323/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	236							
24	20	77/2	77/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	237							
24	20	39	39	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	238							
24	20	79/2	79/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	239							
24	20	77/2	77/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	240							
25	21	81/2	81/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	241							
25	21	122/3	122/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	242							
25	21	245/6	245/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	243							
25	21	41	41	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	244							
25	21	247/6	247/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	245							
25	21	124/3	124/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	246							
25	21	83/2	83/2	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	2/3	247							
25	21	83/2	83/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	248							
25	21	125/3	125/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	249							
25	21	251/6	251/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	250							
25	21	42	42	0.0	3/8	3/8	Chord	2/4	1	1	0	grace16	1/16	2/3	251							
25	21	42	42	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	252							
25	21	253/6	253/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	253							
25	21	127/3	127/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	254							
25	21	81/2	81/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	255							
25	21	83/2	83/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	256							
26	22	85/2	85/2	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	2/3	257							
26	22	85/2	85/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	258							
26	22	128/3	128/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	259							
26	22	257/6	257/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	260							
26	22	43	43	0.0	1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	2/3	261							
26	22	43	43	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	262							
26	22	259/6	259/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	263							
26	22	130/3	130/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	264							
26	22	87/2	87/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	265							
26	22	131/3	131/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	266							
26	22	263/6	263/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	267							
26	22	44	44	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	268							
26	22	265/6	265/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	269							
