mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
8	7	25/2	25/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	50										
8	7	51/4	51/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	51										
8	7	13	13	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	52										
8	7	53/4	53/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	53										
8	7	27/2	27/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	54										
8	7	55/4	55/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	55										
8	7	14	14	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	56										
8	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	57										
8	7	25/2	25/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	58										
8	7	27/2	27/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	59										
9	8	29/2	29/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	60									0	
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	61										
9	8	16	16	0.0	3/8	3/8	Dynamic	2/4	1	1	0						f									
9	8	16	16	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	62										
9	8	65/4	65/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	63										
9	8	29/2	29/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	64										
10	9	33/2	33/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	65										
10	9	17	17	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	66										
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	67										
10	9	18	18	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	68										
10	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	69										
10	9	33/2	33/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	70										
10	9	67/4	67/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	71										
10	9	17	17	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	72										
10	9	69/4	69/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	73										
10	9	35/2	35/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	74										
10	9	71/4	71/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	75										
10	9	18	18	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	76										
10	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	77										
11	10	37/2	37/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	78										
11	10	19	19	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	79										
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	80										
11	10	20	20	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	81										
11	10	81/4	81/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	82										
11	10	37/2	37/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	83										
11	10	75/4	75/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	84										
11	10	19	19	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	85										
11	10	77/4	77/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	86										
11	10	39/2	39/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	87										
11	10	79/4	79/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	88										
11	10	20	20	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	89										
11	10	81/4	81/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	90										
12	11	41/2	41/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	91										
12	11	21	21	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	92										
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	93										
12	11	22	22	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	94										
12	11	89/4	89/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	95										
12	11	41/2	41/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	96										
12	11	83/4	83/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	97										
12	11	21	21	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	98										
12	11	85/4	85/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	99										
12	11	43/2	43/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	100										
12	11	87/4	87/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	101										
12	11	22	22	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	102										
12	11	89/4	89/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	103										
13	12	45/2	45/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	104										
13	12	23	23	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	105										
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	106										
13	12	24	24	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	107										
13	12	97/4	97/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	108										
13	12	45/2	45/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	109										
13	12	91/4	91/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	110										
13	12	23	23	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	111										
13	12	93/4	93/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	112										
13	12	47/2	47/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	113										
13	12	95/4	95/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	114										
13	12	24	24	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	115										
13	12	97/4	97/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	116										
14	13	49/2	49/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	117										
14	13	99/4	99/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	118										
14	13	25	25	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	119										
14	13	101/4	101/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	120										
14	13	51/2	51/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	121										
14	13	103/4	103/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	122										
14	13	26	26	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	123										
14	13	105/4	105/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	124										
14	13	49/2	49/2	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	125										
15	14	53/2	53/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	126										
15	14	107/4	107/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	127										
15	14	27	27	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	128										
15	14	109/4	109/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	129										
15	14	55/2	55/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	130										
15	14	111/4	111/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	131										
15	14	28	28	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	132										
15	14	113/4	113/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	133										
15	14	53/2	53/2	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	134										
16	15	57/2	57/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	135										
16	15	115/4	115/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	136										
16	15	29	29	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	137										
16	15	117/4	117/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	138										
16	15	59/2	59/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	139										
16	15	119/4	119/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	140										
16	15	30	30	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	141										
16	15	121/4	121/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	142										
16	15	57/2	57/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	143										
16	15	59/2	59/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	144										
16	15	57/2	57/2	2.0	0	0	Chord	2/4	2	2	1/2			1/2	1	145										
17	16	61/2	61/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	146										
17	16	32	32	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	147										
17	16	61/2	61/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	148										
17	16	123/4	123/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	149										
17	16	31	31	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	150										
17	16	125/4	125/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	151										
17	16	63/2	63/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	152										
17	16	127/4	127/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	153										
17	16	32	32	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	154										
17	16	129/4	129/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	155										
18	17	65/2	65/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	156										
18	17	33	33	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	157										
18	17	34	34	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	158										
18	17	65/2	65/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	159										
18	17	131/4	131/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	160										
18	17	33	33	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	161										
18	17	133/4	133/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	162										
18	17	67/2	67/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	163										
18	17	135/4	135/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	164										
18	17	34	34	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	165										
18	17	137/4	137/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	166										
19	18	69/2	69/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	167										
19	18	35	35	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	168										
19	18	36	36	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	169										
19	18	69/2	69/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	170										
19	18	139/4	139/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	171										
19	18	35	35	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	172										
19	18	141/4	141/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	173										
19	18	71/2	71/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	174										
19	18	143/4	143/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	175										
19	18	36	36	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	176										
19	18	145/4	145/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	177										
20	19	73/2	73/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	178										
20	19	37	37	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	179										
20	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	180										
20	19	38	38	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	181										
20	19	73/2	73/2	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	182										
21	20	77/2	77/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	183										
21	20	40	40	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	184										
21	20	77/2	77/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	185										
21	20	155/4	155/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	186										
21	20	39	39	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	187										
21	20	157/4	157/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	188										
21	20	79/2	79/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	189										
21	20	159/4	159/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	190										
21	20	40	40	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	191										
21	20	161/4	161/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	192										
22	21	81/2	81/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	193										
22	21	41	41	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	194										
22	21	42	42	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	195										
22	21	81/2	81/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	196										
22	21	163/4	163/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	197										
22	21	41	41	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	198										
22	21	165/4	165/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	199										
22	21	83/2	83/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	200										
22	21	167/4	167/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	201										
22	21	42	42	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	202										
22	21	169/4	169/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	203										
23	22	85/2	85/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	204										
23	22	43	43	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	205										
23	22	44	44	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	206										
23	22	85/2	85/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	207										
23	22	171/4	171/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	208										
23	22	43	43	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	209										
23	22	173/4	173/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	210										
23	22	87/2	87/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	211										
23	22	175/4	175/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	212										
23	22	44	44	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	213										
23	22	177/4	177/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	214										
24	23	89/2	89/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	215										
24	23	45	45	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	216										
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	217										
24	23	46	46	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	218										
24	23	89/2	89/2	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	219										
25	24	93/2	93/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	220										
25	24	95/2	95/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	221										
25	24	191/4	191/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	222										
25	24	48	48	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	223										
25	24	193/4	193/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	224										
25	24	93/2	93/2	0.25	0	0	Chord	2/4	2	1	1/16			1/16	1	225										
25	24	187/4	187/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	226										
25	24	47	47	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	227										
25	24	189/4	189/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	228										
25	24	95/2	95/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	229										
26	25	97/2	97/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	230										
26	25	195/4	195/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	231										
26	25	49	49	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	232										
26	25	197/4	197/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	233										
26	25	99/2	99/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	234										
26	25	199/4	199/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	235										
26	25	50	50	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	236										
26	25	201/4	201/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	237										
26	25	97/2	97/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	238										
26	25	99/2	99/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	239										
26	25	97/2	97/2	2.0	0	0	Chord	2/4	2	2	1/2			1/2	1	240										
27	26	101/2	101/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	241										
27	26	203/4	203/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	242										
27	26	51	51	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	243										
27	26	205/4	205/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	244										
27	26	103/2	103/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	245										
27	26	207/4	207/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	246										
27	26	52	52	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	247										
27	26	209/4	209/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	248										
27	26	101/2	101/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	249										
27	26	103/2	103/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	250										
27	26	101/2	101/2	2.0	0	0	Chord	2/4	2	2	1/2			1/2	1	251										
28	27	105/2	105/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	252										
28	27	211/4	211/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	253										
28	27	53	53	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	254										
28	27	213/4	213/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	255										
28	27	107/2	107/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	256										
28	27	215/4	215/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	257										
28	27	54	54	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	258										
28	27	217/4	217/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	259										
28	27	105/2	105/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	260										
28	27	107/2	107/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	261										
28	27	105/2	105/2	2.0	0	0	Chord	2/4	2	2	1/2			1/2	1	262										
29	28	109/2	109/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	263										
29	28	111/2	111/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	264										
29	28	109/2	109/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	265										
29	28	111/2	111/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	266										
30	29	113/2	113/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	267										
30	29	113/2	113/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	268										
31	30	117/2	117/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	269										
31	30	60	60	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	270										
31	30	59	59	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	271										
31	30	119/2	119/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	272										
31	30	60	60	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	273										
32	31	121/2	121/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	274										
32	31	61	61	0.0	1/8	1/8	StaffText	2/4	1	1	0								"<font size=""17.8494""/><font face=""Opus""/>"							
32	31	61	61	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	275										
32	31	123/2	123/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	276										
32	31	62	62	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	277										
32	31	121/2	121/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	278										
32	31	61	61	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	279										
32	31	123/2	123/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	280										
33	32	125/2	125/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	281										
33	32	64	64	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	282										
33	32	63	63	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	283										
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	284										
33	32	64	64	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	285										
