mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
9	8	31/2	31/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	137						
9	8	16	16	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	138						
9	8	65/4	65/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	139						
9	8	33/2	33/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	140						
9	8	67/4	67/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	141						
10	9	17	17	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	142						
10	9	69/4	69/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	143						
10	9	35/2	35/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	144						
10	9	71/4	71/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	145						
10	9	18	18	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	146						
10	9	73/4	73/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	147						
10	9	37/2	37/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	148						
10	9	75/4	75/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	149						
10	9	17	17	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	150						
10	9	69/4	69/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	151						
10	9	35/2	35/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	152						
10	9	71/4	71/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	153						
10	9	18	18	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	154						
10	9	73/4	73/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	155						
10	9	37/2	37/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	156						
10	9	75/4	75/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	157						
11	10	19	19	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	158						
11	10	19	19	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	159						
