piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	musicbrainz	viaf	typesetter	imslp	pdf	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
15op13no3c	1: 6/8	1: 1	141	141	423.0	282	282	846.0	972.5	2240	1403	0	0	360	e	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 3 in E Minor	3	Presto	Op. 13, No. 3				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 3 in E Minor, Op. 13, No. 3	3. Presto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/15op13no3c.mscx	False	35-88 (B1-E6)	Q693843		https://viaf.org/viaf/778150382195013500004/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.13_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/482041	xml	Piano (2)	55-88 (G3-E6)	Piano (2)	35-72 (B1-C5)
16op15no1a	1: 3/4	1: -2	34	34	102.0	34	34	102.0	335.75	709	360	0	0	111	g	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 1 in G Minor	1	Largo	Op. 15, No. 1				© 2009 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in G Minor, Op. 15, No. 1	1. Largo	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/16op15no1a.mscx	False	38-89 (D2-F6)	Q693843		https://viaf.org/viaf/180723133/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:17-19_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883256	xml	Piano (2)	60-89 (C4-F6)	Piano (2)	38-75 (D2-Eb5)
16op15no1b	1: 3/4	1: -2	211	208	625.5	397	392	1177.5	1916.75	3230	1827	0	0	524	g	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 1 in G Minor	2	Allegro molto	Op. 15, No. 1				© 2009 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in G Minor, Op. 15, No. 1	2. Allegro molto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/16op15no1b.mscx	False	31-89 (G1-F6)	Q693843		https://viaf.org/viaf/180723133/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:17-19_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883256	xml	Piano (2)	55-89 (G3-F6)	Piano (2)	31-74 (G1-D5)
16op15no1c	1: 2/4	1: 1, 80: -2, 130: 1	186	186	382.75	186	186	382.75	1087.5	2634	1575	0	0	523	G	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 1 in G Minor	3	Rondo: Allegro	Op. 15, No. 1				© 2009 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in G Minor, Op. 15, No. 1	3. Rondo: Allegro	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/16op15no1c.mscx	False	37-88 (C#2-E6)	Q693843		https://viaf.org/viaf/180723133/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:17-19_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883256	xml	Piano (2)	57-88 (A3-E6)	Piano (2)	37-72 (C#2-C5)
17op15no2a	1: 4/4	1: 0	201	201	804.0	402	402	1608.0	2469.17	4491	2299	0	0	527	C	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 2 in C Major	1	Allegro 	Op. 15, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in C Major, Op. 15, No. 2	1. Allegro 	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/17op15no2a.mscx	False	31-89 (G1-F6)	Q693843		https://viaf.org/viaf/183583817/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:17-19_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883256	xml	Piano (2)	55-89 (G3-F6)	Piano (2)	31-71 (G1-B4)
17op15no2b	1: 3/4	1: -1	42	40	120.0	84	80	240.0	392.12	791	405	0	0	140	F	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 2 in C Major	2	Poco adagio	Op. 15, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in C Major, Op. 15, No. 2	2. Poco adagio	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/17op15no2b.mscx	False	31-88 (G1-E6)	Q693843		https://viaf.org/viaf/183583817/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:17-19_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883256	xml	Piano (2)	55-88 (G3-E6)	Piano (2)	31-70 (G1-Bb4)
17op15no2c	1: 4/4	1: 0	160	160	640.0	320	320	1280.0	1890.0	2815	1754	0	0	385	C	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 2 in C Major	3	Presto	Op. 15, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in C Major, Op. 15, No. 2	3. Presto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/17op15no2c.mscx	False	34-89 (Bb1-F6)	Q693843		https://viaf.org/viaf/183583817/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:17-19_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883256	xml	Piano (2)	48-89 (C3-F6)	Piano (2)	34-76 (Bb1-E5)
19op17no1a	1: 3/4	1: -4	38	37	111.12	38	37	111.12	345.83	694	369	0	0	123	f	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 1 in F Minor	1	Largo	Op. 17, No. 1				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in F Minor, Op. 17, No. 1	1. Largo	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/19op17no1a.mscx	False	35-85 (B1-Db6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:20-22_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/533473	xml	Piano (2)	52-85 (E3-Db6)	Piano (2)	35-72 (B1-C5)
19op17no1b	1: 4/4	1: -4	255	255	1020.0	361	361	1444.0	2887.67	3469	2158	0	0	516	f	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 1 in F Minor	2	Allegro agitato	Op. 17, No. 1				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in F Minor, Op. 17, No. 1	2. Allegro agitato	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/19op17no1b.mscx	False	32-89 (Ab1-F6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:20-22_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/533473	xml	Piano (2)	55-89 (G3-F6)	Piano (2)	32-77 (Ab1-F5)
19op17no1c	1: 2/4	1: -4, 56: -1, 88: -4, 111: -1, 143: -4	221	213	426.5	302	289	578.5	1366.5	2523	1235	0	0	345	f	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 1 in F Minor	3	Finale: Allegretto	Op. 17, No. 1				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in F Minor, Op. 17, No. 1	3. Finale: Allegretto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/19op17no1c.mscx	False	36-89 (C2-F6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:20-22_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/533473	xml	Piano (2)	55-89 (G3-F6)	Piano (2)	36-73 (C2-Db5)
20op17no2a	1: 6/8	1: 3	226	226	678.0	452	452	1356.0	2294.0	3795	2004	0	0	608	A	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 2 in A Major	1	Allegro molto	Op. 17, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in A Major, Op. 17, No. 2	1. Allegro molto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/20op17no2a.mscx	False	33-88 (A1-E6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:20-22_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/533473	xml	Piano (2)	49-88 (C#3-E6)	Piano (2)	33-76 (A1-E5)
20op17no2b	1: 2/4	1: 4, 51: 1, 83: 4	100	100	202.75	100	100	202.75	629.0	1472	816	0	0	291	E	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 2 in A Major	2	Adagio	Op. 17, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in A Major, Op. 17, No. 2	2. Adagio	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/20op17no2b.mscx	False	28-88 (E1-E6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:20-22_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/533473	xml	Piano (2)	56-88 (G#3-E6)	Piano (2)	28-79 (E1-G5)
20op17no2c	1: 2/4	1: 3, 115: 0, 170: 3	218	218	440.5	218	218	440.5	1306.0	2563	1464	0	0	482	A	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 2 in A Major	3	Allegro molto	Op. 17, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in A Major, Op. 17, No. 2	3. Allegro molto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/20op17no2c.mscx	False	36-88 (C2-E6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:20-22_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/533473	xml	Piano (2)	57-88 (A3-E6)	Piano (2)	36-74 (C2-D5)
21op17no3a	1: 4/4	1: -3	193	193	772.0	268	268	1072.0	2181.5	4459	2549	0	0	543	Eb	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 3 in E-flat Major	1	Allegro 	Op. 17, No. 3				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 3 in E-flat Major, Op. 17, No. 3	1. Allegro 	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/21op17no3a.mscx	False	33-89 (A1-F6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:20-22_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/533473	xml	Piano (2)	53-89 (F3-F6)	Piano (2)	33-74 (A1-D5)
21op17no3b	1: 2/4	1: -3	220	219	439.0	220	219	439.0	1305.83	3312	1881	0	0	589	Eb	2.1.0	Adrian Nagel	1785	1785	Leopold Koželuch	Keyboard Sonata No. 3 in E-flat Major	2	Rondo: Allegretto	Op. 17, No. 3				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 3 in E-flat Major, Op. 17, No. 3	2. Rondo: Allegretto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/21op17no3b.mscx	False	31-89 (G1-F6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_P.XII:20-22_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/533473	xml	Piano (2)	53-89 (F3-F6)	Piano (2)	31-72 (G1-C5)
22op20no1a	1: 3/4	1: -1	171	171	513.0	227	227	681.0	1415.75	2374	1367	0	0	291	F	2.1.0	Adrian Nagel	1786	1786	Leopold Koželuch	Keyboard Sonata No. 1 in F Major	1	Allegro 	Op. 20, No. 1				© 2009 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in F Major, Op. 20, No. 1	1. Allegro 	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/22op20no1a.mscx	False	34-89 (Bb1-F6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas%2C_P.XII:23-25_(Kozeluch%2C_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883257	xml	Piano (2)	50-89 (D3-F6)	Piano (2)	34-70 (Bb1-Bb4)
22op20no1b	1: 2/4	1: -2	45	45	95.0	45	45	95.0	301.83	774	431	0	0	124	Bb	2.1.0	Adrian Nagel	1786	1786	Leopold Koželuch	Keyboard Sonata No. 1 in F Major	2	Adagio	Op. 20, No. 1				© 2009 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in F Major, Op. 20, No. 1	2. Adagio	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/22op20no1b.mscx	False	39-86 (Eb2-D6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas%2C_P.XII:23-25_(Kozeluch%2C_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883257	xml	Piano (2)	60-86 (C4-D6)	Piano (2)	39-70 (Eb2-Bb4)
22op20no1c	1: 6/8	1: -1	150	150	451.5	150	150	451.5	1414.0	2007	1012	0	0	267	F	2.1.0	Adrian Nagel	1786	1786	Leopold Koželuch	Keyboard Sonata No. 1 in F Major	3	Rondo: Allegretto	Op. 20, No. 1				© 2009 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in F Major, Op. 20, No. 1	3. Rondo: Allegretto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/22op20no1c.mscx	False	31-86 (G1-D6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas%2C_P.XII:23-25_(Kozeluch%2C_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883257	xml	Piano (2)	55-86 (G3-D6)	Piano (2)	31-70 (G1-Bb4)
23op20no2a	1: 4/4	1: 0	134	134	536.0	268	268	1072.0	1426.5	2654	1476	0	0	495	C	2.1.0	Adrian Nagel	1786	1786	Leopold Koželuch	Keyboard Sonata No. 2 in C Major	1	Allegro 	Op. 20, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in C Major, Op. 20, No. 2	1. Allegro 	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/23op20no2a.mscx	False	29-87 (F1-Eb6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas%2C_P.XII:23-25_(Kozeluch%2C_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883257	xml	Piano (2)	53-87 (F3-Eb6)	Piano (2)	29-74 (F1-D5)
23op20no2b	1: 3/4	1: -1	51	51	153.0	51	51	153.0	436.13	1017	627	0	0	150	F	2.1.0	Adrian Nagel	1786	1786	Leopold Koželuch	Keyboard Sonata No. 2 in C Major	2	Adagio	Op. 20, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in C Major, Op. 20, No. 2	2. Adagio	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/23op20no2b.mscx	False	36-89 (C2-F6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas%2C_P.XII:23-25_(Kozeluch%2C_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883257	xml	Piano (2)	55-89 (G3-F6)	Piano (2)	36-71 (C2-B4)
23op20no2c	1: 2/4	1: 0, 73: -3, 108: 0	143	143	292.25	143	143	292.25	754.67	2092	1400	0	0	329	C	2.1.0	Adrian Nagel	1786	1786	Leopold Koželuch	Keyboard Sonata No. 2 in C Major	3	Rondo: Allegretto	Op. 20, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in C Major, Op. 20, No. 2	3. Rondo: Allegretto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/23op20no2c.mscx	False	31-88 (G1-E6)	Q693843			Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas%2C_P.XII:23-25_(Kozeluch%2C_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/883257	xml	Piano (2)	53-88 (F3-E6)	Piano (2)	31-72 (G1-C5)
