mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
152	152	0	0	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
152	152	1/4	1/4	4/4	1	1	V43/IV		C	I		V43/IV		V		43		IV		Mm7	0	0	1, -2, 0, 4		0	1
152	152	1/2	1/2	4/4	1	1	V43(6#4)/IV		C	I		V43(6#4)/IV		V		43	6#4	IV		Mm7	0	0	6, 3, -2, 0, 4		0	6
152	152	3/4	3/4	4/4	1	1	V43/IV		C	I		V43/IV		V		43		IV		Mm7	0	0	1, -2, 0, 4		0	1
153	153	0	0	4/4	1	1	IV		C	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
153	153	1/4	1/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
153	153	1/2	1/2	4/4	1	1	V65		C	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
153	153	3/4	3/4	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
154	154	0	0	4/4	1	1	ii6		C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
155	155	0	0	4/4	1	1	V[V7		C	I	V	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
155	155	1/4	1/4	4/4	1	1	I6		C	I	V	I6		I		6				M	0	0	4, 1, 0		0	4
155	155	1/2	1/2	4/4	1	1	V7(6)		C	I	V	V7(6)		V		7	6			Mm7	0	0	1, 5, 4, -1		1	1
155	155	3/4	3/4	4/4	1	1	V		C	I	V	V		V						M	0	0	1, 5, 2		1	1
156	156	0	0	4/4	1	1	I(2)		C	I	V	I(2)		I			2			M	0	0	2, 4, 1		0	2
156	156	1/4	1/4	4/4	1	1	I		C	I	V	I		I						M	0	0	0, 4, 1		0	0
156	156	1/2	1/2	4/4	1	1	ii6(2)		C	I	V	ii6(2)		ii		6	2			m	0	0	-1, 3, 4		2	-1
156	156	3/4	3/4	4/4	1	1	ii6		C	I	V	ii6		ii		6				m	0	0	-1, 3, 2		2	-1
157	157	0	0	4/4	1	1	V7]		C	I	V	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
157	157	1/4	1/4	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
157	157	1/2	1/2	4/4	1	1	ii6		C	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
157	157	3/4	3/4	4/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
158	158	0	0	4/4	1	1	i.i		C	i		i		i						m	0	1	0, -3, 1		0	0
159	159	0	0	4/4	1	1	V65		C	i		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
160	160	0	0	4/4	1	1	i		C	i		i		i						m	0	1	0, -3, 1		0	0
160	160	1/4	1/4	4/4	1	1	V43		C	i		V43		V		43				Mm7	0	1	2, -1, 1, 5		1	2
160	160	1/2	1/2	4/4	1	1	i		C	i		i		i						m	0	1	0, -3, 1		0	0
160	160	3/4	3/4	4/4	1	1	iv6		C	i		iv6		iv		6				m	0	1	-4, 0, -1		-1	-4
161	161	0	0	4/4	1	1	V(64)		C	i		V(64)		V			64			M	0	1	1, 0, -3		1	1
161	161	1/2	1/2	4/4	1	1	V\\		C	i		V		V					\\	M	0	1	1, 5, 2		1	1
161	161	7/8	7/8	4/4	1	1	V7		C	i		V7		V		7				Mm7	0	1	1, 5, 2, -1		1	1
162	162	0	0	4/4	1	1	i		C	i		i		i						m	0	1	0, -3, 1		0	0
163	163	0	0	4/4	1	1	V65		C	i		V65		V		65				Mm7	0	1	5, 2, -1, 1		1	5
164	164	0	0	4/4	1	1	#viio43/iv		C	i		#viio43/iv		#vii	o	43		iv		o7	0	1	-2, -5, 4, 1		4	-2
165	165	0	0	4/4	1	1	iv6		C	i		iv6		iv		6				m	0	1	-4, 0, -1		-1	-4
165	165	1/2	1/2	4/4	1	1	iv		C	i		iv		iv						m	0	1	-1, -4, 0		-1	-1
166	166	0	0	4/4	1	1	V7		C	i		V7		V		7				Mm7	0	1	1, 5, 2, -1		1	1
166	166	1/2	1/2	4/4	1	1	VI		C	i		VI		VI						M	0	1	-4, 0, -3		-4	-4
167	167	0	0	4/4	1	1	iio6		C	i		iio6		ii	o	6				o	0	1	-1, -4, 2		2	-1
167	167	1/2	1/2	4/4	1	1	V7		C	i		V7		V		7				Mm7	0	1	1, 5, 2, -1		1	1
168	168	0	0	4/4	1	1	VI		C	i		VI		VI						M	0	1	-4, 0, -3		-4	-4
168	168	1/2	1/2	4/4	1	1	V43(+2)/iv		C	i		V43(+2)/iv		V		43	+2	iv		Mm7	0	1	1, -2, 0, 4	-5	0	1
169	169	0	0	4/4	1	1	iv		C	i		iv		iv						m	0	1	-1, -4, 0		-1	-1
170	170	0	0	4/4	1	1	viio7/V		C	i		viio7/V		vii	o	7		V		o7	0	1	6, 3, 0, -3		6	6
171	171	0	0	4/4	1	1	V[V		C	i	V	V		V						M	0	1	1, 5, 2		1	1
172	172	0	0	4/4	1	1	i		C	i	V	i		i						m	0	1	0, -3, 1		0	0
173	173	0	0	4/4	1	1	V		C	i	V	V		V						M	0	1	1, 5, 2		1	1
174	174	0	0	4/4	1	1	i		C	i	V	i		i						m	0	1	0, -3, 1		0	0
175	175	0	0	4/4	1	1	V]\\		C	i	V	V		V					\\	M	0	1	1, 5, 2		1	1
175	175	3/8	3/8	4/4	1	1	V.V		C	V		V		V						M	0	0	1, 5, 2		1	1
176	176	0	0	4/4	1	1	I[I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
176	176	3/4	3/4	4/4	1	1	V2		C	V	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
177	177	0	0	4/4	1	1	I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
177	177	3/4	3/4	4/4	1	1	V2		C	V	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
178	178	0	0	4/4	1	1	I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
178	178	3/4	3/4	4/4	1	1	V2		C	V	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
179	179	0	0	4/4	1	1	I]		C	V	I	I		I						M	0	0	0, 4, 1		0	0
179	179	1/4	1/4	4/4	1	1	I6		C	V		I6		I		6				M	0	0	4, 1, 0		0	4
179	179	3/4	3/4	4/4	1	1	V+6/IV		C	V		V+6/IV		V	+	6		IV		+	0	0	4, 8, 0		0	4
180	180	0	0	4/4	1	1	IV		C	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
181	181	0	0	4/4	1	1	V(64)		C	V		V(64)		V			64			M	0	0	1, 0, 4		1	1
181	181	3/4	3/4	4/4	1	1	V7		C	V		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
