mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
56	56	166	166	0.5	1/4	1/4	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
56	56	333/2	333/2	1.0	3/8	3/8	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
56	56	335/2	335/2	0.5	5/8	5/8	6/8	2	1	ii6		e	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
57	57	168	168	1.5	0	0	6/8	2	1	V(64)		e	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
57	57	339/2	339/2	1.5	3/8	3/8	6/8	2	1	V		e	III		V		V							M	1	0	1, 5, 2		1	1
58	58	171	171	1.5	0	0	6/8	2	1	I\\		e	III		I		I						\\	M	1	0	0, 4, 1		0	0
58	58	345/2	345/2	1.5	3/8	3/8	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
59	59	174	174	1.5	0	0	6/8	2	1	ii		e	III		ii		ii							m	1	0	2, -1, 3		2	2
59	59	351/2	351/2	1.5	3/8	3/8	6/8	2	1	viio		e	III		viio		vii	o						o	1	0	5, 2, -1		5	5
60	60	177	177	1.5	0	0	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
60	60	357/2	357/2	1.5	3/8	3/8	6/8	2	1	vi		e	III		vi		vi							m	1	0	3, 0, 4		3	3
61	61	180	180	1.5	0	0	6/8	2	1	ii6		e	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
61	61	363/2	363/2	1.5	3/8	3/8	6/8	2	1	V		e	III		V		V							M	1	0	1, 5, 2		1	1
62	62	183	183	2.0	0	0	6/8	2	1	I[I\\		e	III	I	I		I						\\	M	1	0	0, 4, 1		0	0
62	62	185	185	1.0	1/2	1/2	6/8	2	1	ii		e	III	I	ii		ii							m	1	0	2, -1, 3		2	2
63	63	186	186	2.0	0	0	6/8	2	1	I		e	III	I	I		I							M	1	0	0, 4, 1		0	0
63	63	188	188	1.0	1/2	1/2	6/8	2	1	ii6		e	III	I	ii6		ii		6					m	1	0	-1, 3, 2		2	-1
64	64	189	189	3.0	0	0	6/8	2	1	I]		e	III	I	I		I							M	1	0	0, 4, 1		0	0
65	65	192	192	3.0	0	0	6/8	2	1	i.V43		e	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
66	66	195	195	3.0	0	0	6/8	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
67	67	198	198	3.0	0	0	6/8	2	1	V\\		e	i		V		V						\\	M	1	1	1, 5, 2		1	1
68	68	201	201	2.5	0	0	6/8	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
68	68	407/2	407/2	0.5	5/8	5/8	6/8	2	1	iv.V6		e	iv		V6		V		6					M	1	1	5, 2, 1		1	5
69	69	204	204	0.5	0	0	6/8	2	1	i		e	iv		i		i							m	1	1	0, -3, 1		0	0
69	69	409/2	409/2	0.5	1/8	1/8	6/8	2	1	V6		e	iv		V6		V		6					M	1	1	5, 2, 1		1	5
69	69	205	205	0.5	1/4	1/4	6/8	2	1	i		e	iv		i		i							m	1	1	0, -3, 1		0	0
69	69	411/2	411/2	1.5	3/8	3/8	6/8	2	1	V6		e	iv		V6		V		6					M	1	1	5, 2, 1		1	5
70	70	207	207	1.5	0	0	6/8	2	1	V		e	iv		V		V							M	1	1	1, 5, 2		1	1
70	70	417/2	417/2	1.5	3/8	3/8	6/8	2	1	V65		e	iv		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
71	71	210	210	2.5	0	0	6/8	2	1	i		e	iv		i		i							m	1	1	0, -3, 1		0	0
71	71	425/2	425/2	0.5	5/8	5/8	6/8	2	1	vii.V6		e	vii		V6		V		6					M	1	1	5, 2, 1		1	5
72	72	213	213	0.5	0	0	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
72	72	427/2	427/2	0.5	1/8	1/8	6/8	2	1	V6		e	vii		V6		V		6					M	1	1	5, 2, 1		1	5
72	72	214	214	0.5	1/4	1/4	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
72	72	429/2	429/2	1.5	3/8	3/8	6/8	2	1	V6		e	vii		V6		V		6					M	1	1	5, 2, 1		1	5
73	73	216	216	1.5	0	0	6/8	2	1	V		e	vii		V		V							M	1	1	1, 5, 2		1	1
73	73	435/2	435/2	1.5	3/8	3/8	6/8	2	1	V65		e	vii		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
74	74	219	219	2.5	0	0	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
74	74	443/2	443/2	0.5	5/8	5/8	6/8	2	1	i6		e	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
75	75	222	222	0.5	0	0	6/8	2	1	iv		e	vii		iv		iv							m	1	1	-1, -4, 0		-1	-1
75	75	445/2	445/2	0.5	1/8	1/8	6/8	2	1	i6		e	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
75	75	223	223	0.5	1/4	1/4	6/8	2	1	iv		e	vii		iv		iv							m	1	1	-1, -4, 0		-1	-1
75	75	447/2	447/2	1.5	3/8	3/8	6/8	2	1	i6		e	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
76	76	225	225	2.5	0	0	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
76	76	455/2	455/2	0.5	5/8	5/8	6/8	2	1	i6		e	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
77	77	228	228	0.5	0	0	6/8	2	1	iv		e	vii		iv		iv							m	1	1	-1, -4, 0		-1	-1
77	77	457/2	457/2	0.5	1/8	1/8	6/8	2	1	i6		e	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
77	77	229	229	0.5	1/4	1/4	6/8	2	1	iv		e	vii		iv		iv							m	1	1	-1, -4, 0		-1	-1
77	77	459/2	459/2	1.5	3/8	3/8	6/8	2	1	i6\\		e	vii		i6		i		6				\\	m	1	1	-3, 1, 0		0	-3
78	78	231	231	1.5	0	0	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
78	78	465/2	465/2	1.5	3/8	3/8	6/8	2	1	iv		e	vii		iv		iv							m	1	1	-1, -4, 0		-1	-1
79	79	234	234	1.5	0	0	6/8	2	1	V7/III		e	vii		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
79	79	471/2	471/2	1.5	3/8	3/8	6/8	2	1	III		e	vii		III		III							M	1	1	-3, 1, -2		-3	-3
80	80	237	237	1.5	0	0	6/8	2	1	VI		e	vii		VI		VI							M	1	1	-4, 0, -3		-4	-4
80	80	477/2	477/2	1.5	3/8	3/8	6/8	2	1	ii		e	vii		ii		ii							m	1	1	2, -1, 3		2	2
81	81	240	240	1.5	0	0	6/8	2	1	V7		e	vii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
81	81	483/2	483/2	0.5	3/8	3/8	6/8	2	1	i\\		e	vii		i		i						\\	m	1	1	0, -3, 1		0	0
81	81	242	242	1.0	1/2	1/2	6/8	2	1	V43		e	vii		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
82	82	243	243	1.0	0	0	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
82	82	244	244	0.5	1/4	1/4	6/8	2	1	i6		e	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
