mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
204	202	0	3/4	3/4	0						205
205	203	0	3/4	3/4	0						206
206	204	0	3/4	3/4	0						207
207	205	0	3/4	3/4	0						208
208	206	0	3/4	3/4	0						209
209	207	0	3/4	3/4	0						210
210	208	0	3/4	3/4	0						211
211	209	0	3/4	3/4	0						212
212	210	0	3/4	3/4	0						213
213	211	0	3/4	3/4	0						214
214	212	0	3/4	3/4	0						215
215	213	0	3/4	3/4	0						216
216	214	0	3/4	3/4	0						217
217	215	0	3/4	3/4	0						218
218	216	0	3/4	3/4	0						219
219	217	0	3/4	3/4	0						220
220	218	0	3/4	3/4	0						221
221	219	0	3/4	3/4	0						222
222	220	0	3/4	3/4	0						223
223	221	0	3/4	3/4	0						224
224	222	0	3/4	3/4	0						225
225	223	0	3/4	3/4	0						226
226	224	0	3/4	3/4	0						227
227	225	0	3/4	3/8	0	endRepeat					72, -1
